.	emdb
0003	30609992
0019	
0045	
0057	
0058	
0079	32937119
0093	
0094	
0243	
0248	
0269	30598554
0321	30679428
0340	
0400	30541924
0421	
0426	30975770
0427	30975770
0428	30975770
0429	30975770
0430	30975770
0431	30975770
0432	30975770
0439	
0444	31962158
0454	31278272
0455	31278272
0500	30733386
0632	
0723	33115459
0725	33115459
0779	
0782	
0789	31848241
0793	
0794	
0795	
0814	31624094
0828	32341479
0833	
0834	32424145
0835	32424145
0843	
0844	
0854	
0855	
0856	
0857	
0858	
0859	
0860	
0862	
0867	
0868	
0870	
0871	
0875	
0910	
0911	
0970	32001526
0971	32001526
0973	32001526
0982	32376910
10001	
10003	
10004	
10005	
10008	
10009	
10012	
10013	
10014	
10015	
10083	
10084	
10085	32111820
10086	32111820
10094	
10097	
10101	
10163	
10164	
10165	
10166	
10167	
10168	
10169	
10170	
10171	
10173	
10174	
10247	33318620
10248	33318620
10249	33318620
10250	33318620
10251	33318620
10252	33318620
10253	33318620
10254	33318620
10255	33318620
10267	
10268	33318620
10269	33318620
10270	33318620
10271	33318620
10272	33318620
10274	33318620
10275	33318620
10276	33318620
10326	31708416
10327	31708416
10328	31708416
10329	31708416
10330	31708416
10331	31708416
10332	31708416
10378	31743662
10379	31743662
10407	
10417	
10466	
10538	33789095
10556	
10557	
10558	
10559	
10560	32284565
10587	
10588	
10589	
10590	
10611	
10612	
10613	
10614	
10625	
10631	32188856
10703	
10721	
10770	
10771	
10789	
10818	33514845
10891	33149120
10893	
10964	32661420
10987	32605991
10998	
11004	33339823
11026	33339823
11043	34508074
11044	34508074
11045	34508074
11046	34508074
11047	34508074
11048	34508074
11068	32661423
11071	
11072	
11158	
11161	33154162
11167	33154162
11169	33154162
11171	33154162
11179	32840476
11180	32840476
11200	33154162
11201	33154162
11202	34210687
11208	34210687
11209	34210687
11218	32661423
11234	33444527
11239	32939277
11265	
11272	
11275	
11304	
11327	34330900
11365	
11367	33277481
11373	
11374	
11375	
11376	
11398	
11399	
11400	
11402	
11412	
11413	
11414	
11415	
11427	
11438	
11455	
11468	
11469	
11470	
11478	
11481	
11482	
11483	
11600	
11606	34083757
11612	34083757
11613	34083757
11630	
11649	
11659	
11674	
11690	
11710	34389707
11713	34389707
11717	34389707
11718	34389707
11781	33750771
11832	
11833	
11867	33208793
11868	33208793
11899	33863979
11930	
11951	33990576
11955	34226545
12035	
12051	34432045
12081	
12082	
12083	
12084	
12085	
12086	
12104	34489474
12142	34507995
12143	34507995
12181	33567276
12184	34272288
12185	34272288
12186	34272288
12237	33692360
12238	33692360
12270	
12285	34504018
12306	
12307	
12308	
12309	34330923
12310	34330923
12312	
12313	
12315	
12316	
12317	
12341	
12343	
12345	
12346	
12347	
12350	
12351	
12352	
12451	34475399
12452	
12453	34354236
12454	
12455	
12456	
12457	
12458	
12459	
12460	
12478	34429416
12482	34429416
12527	33878294
12528	34433568
12529	33878294
12562	34301939
12565	34301939
12567	33878294
12568	33878294
12569	33878294
12571	34301939
12576	
12577	
12578	34301939
12579	34301939
12580	34301939
12656	
12657	
12658	
12659	
12660	
12662	
12663	
12664	
12675	34210687
12677	34210687
12678	34210687
12693	34504068
12694	34504068
12695	34504068
12698	
12699	34095222
12700	34297726
12726	
12727	
12728	
12729	
12749	
12761	34473089
12777	
12809	
12901	
12902	
12903	
12914	
12915	
12917	
12938	
12957	34233195
12960	34535646
12978	
12979	34233195
12980	34487371
12981	34487371
12983	34487371
12984	34487371
12991	33501431
12992	33501431
12993	
12995	34518685
12998	34518685
12999	34518685
13000	34518685
13001	34518685
13002	34489609
13026	34535646
13029	34349264
13030	34349264
13031	34349264
13032	34349264
13033	34349264
13034	34535646
13035	
13075	34404793
13076	34404793
13077	34404793
13081	
13097	
13116	34429502
13118	34461069
13119	34432045
13135	34381216
13138	34381216
13146	
13147	
13148	
13153	34337436
13154	34337436
13173	34516884
13202	34521847
13203	34521847
13208	34521847
13212	34521847
13213	34521847
13218	
13219	
13220	
13221	
13223	
13224	
13225	
13226	
13227	
13230	34521847
13256	
13270	
13309	
13343	34504078
13347	34519268
13348	34519268
13349	34519268
13350	34519268
13351	34519268
13352	34519268
13390	
13422	
13423	
13424	
13425	
13426	
13428	
13438	
1906	
1920	22902564
1921	22902564
20092	
20093	
20094	
20095	
20096	
20097	
20098	
20123	31578255
20159	32494598
20286	32310937
20287	32310937
20288	32310937
20289	
20397	32076649
20518	33567265
20521	
20548	
20549	
20604	
20607	32019936
20609	31859208
20610	31859208
20613	32848250
20617	31537793
20618	15123802
20619	31537793
20645	32148858
20659	
20674	31874113
20675	31874113
20676	31874113
20679	31874113
20680	31874113
20681	31874113
20683	31874113
20684	31874113
20685	31874113
20745	32392465
20764	
20810	
20815	32095534
20816	32095534
20820	31886769
20825	32783917
20826	32783917
20862	34017046
20916	32320665
21005	32937101
21006	32937101
21007	32937101
21008	32937101
21027	31767780
21035	32596471
21037	32596471
21109	32744252
21113	32182622
21156	
21211	33682792
21225	
21244	32528175
21245	32528175
21252	
21254	
21316	32165583
21371	32431828
21372	32268107
21373	32431828
21376	32431828
21383	32268107
21405	32907938
21448	
21449	
21450	
21451	
21458	32431829
21459	32431829
21528	
21542	
21543	
21544	
21553	34038719
21554	34038719
21555	34038719
21556	34038719
21557	34038719
21575	
21576	
21577	
21578	32647180
21579	32647180
21581	
21595	32494015
21596	32494015
21597	32494015
21598	32494015
21669	32946782
21672	34453887
21690	
21701	32572031
21708	
21810	
21815	
21859	33024099
21860	32832689
21861	32832689
21862	32832689
21863	32755591
21867	32759221
21868	32759221
21869	32755591
21870	
21879	33483500
21880	33483500
21881	33483500
21883	33483500
21884	32895555
21885	32895555
21886	32895555
21952	32814034
21959	
21960	
21961	
22022	33658209
22023	33658209
22024	33658209
22072	32651359
22073	32651359
22088	32641510
22099	
22100	
22101	
22106	
22113	
22147	
22150	34433062
22151	34433062
22152	34433062
22153	34433062
22154	34433062
22155	34433062
22163	
22186	33682792
22187	33682792
22217	32718994
22218	32718994
22233	
22238	
22239	
22240	
22241	
22242	
22243	
22244	
22259	
22278	
22279	
22280	
22281	
22282	
22288	
22302	
22334	32047132
22336	
22337	
22344	33446559
22364	33875834
22398	
22400	33712691
22412	32039886
22443	33953337
22451	33270897
22495	
22496	
22498	
22499	
22500	
22501	
22502	
22503	
22504	
22505	
22518	
22582	
22583	
22584	
22585	
22596	
22597	
22615	
22616	
22648	
22649	
22651	
22788	
22877	
22878	
22880	33741963
22886	34171296
22887	34171296
22888	34171296
22995	33974910
23013	
23019	
23020	
23041	34473954
23052	
23096	34127662
23114	34127662
23121	34127662
23148	34473954
23149	
2320	
23206	34038719
23280	
23281	
23312	
23337	34035440
23338	34035440
23372	34349260
23373	33619491
23374	34349260
23375	34349260
23376	34535641
23377	34535641
23386	34535641
23392	33930464
23411	
23412	
23424	
23483	
23484	
23485	
23486	
23487	
23489	33789084
23563	
23574	
23575	
23576	
23589	
23605	
23614	
23616	
23617	
23618	
23625	
23629	
23640	
23686	34518699
23687	34518699
23688	34518699
23689	34518699
23724	34385391
23763	
23764	
23765	
23782	34344900
23783	34344901
23784	34344901
23786	
23788	34344900
23790	34344900
23802	34344900
23808	34348129
23860	
23861	
23886	
23900	
23901	
23902	
23903	
23936	34516797
23937	34516797
23938	34516797
23939	34516797
23940	34516797
23941	34533457
23942	34533457
23943	34533457
23944	34533457
23945	34533457
23946	34533457
23947	34533457
23948	34533457
23970	34013269
23971	34013269
24105	33532775
24106	33532775
24142	34450043
24143	34450043
24152	34516797
24153	34516797
24159	34516797
24161	34516797
24162	34516797
24163	34516797
24164	34516797
24165	34516797
24166	34516797
24167	34516797
24168	34516797
24169	34516797
24170	34516797
24171	34516797
24172	34516797
24173	34516797
24175	34516797
24176	34516797
24178	34407950
24179	34407950
24180	34407950
24208	34520735
24209	34520735
24253	33758850
24255	33758850
24256	33758850
24257	33758850
24262	34344900
24293	
24318	33758864
24319	33758864
24320	33758864
24321	
24322	
24335	
24336	
24337	
24338	
24339	
24340	
24341	
24342	
24343	
24344	
24345	
24346	
24348	
24349	
24350	
24351	
24352	
24353	
24354	
24355	
24356	
24357	
24358	
24359	
24360	
24361	
24383	
24384	
24388	
24391	
24392	
24399	
24400	
24425	
24455	
24456	
24457	
24482	34525326
24483	34525326
24484	34525326
24485	34525326
24486	34525326
24504	33948592
24505	33948592
24513	
